10:40:03 [INFO] Using account: burner1
10:40:12 [INFO] Navigating to groups page...
10:40:24 [INFO]   Scroll 1/10
10:40:27 [INFO]   Scroll 2/10
10:40:29 [INFO]   Scroll 3/10
10:40:31 [INFO]   Scroll 4/10
10:40:33 [INFO]   Scroll 5/10
10:40:35 [INFO]   Scroll 6/10
10:40:37 [INFO]   Scroll 7/10
10:40:39 [INFO]   Scroll 8/10
10:40:42 [INFO]   Scroll 9/10
10:40:44 [INFO]   Scroll 10/10
10:40:44 [INFO] Found 45 groups
10:40:44 [INFO]   Compra y venta Santo Domingo -> https://www.facebook.com/groups/909331334235777/
10:40:44 [INFO]   Marketplace República Dominicana -> https://www.facebook.com/groups/2572501033065338/
10:40:44 [INFO]   Compra y ventas en República Dominicana � -> https://www.facebook.com/groups/475441475558155/
10:40:44 [INFO]   Santo Domingo Compra y Ventas -> https://www.facebook.com/groups/766960480718951/
10:40:44 [INFO]   Clasificados Santo Domingo -> https://www.facebook.com/groups/285286465003030/
10:40:44 [INFO]   La Pulga Romana! ( Compra,Vende Y Comparte) -> https://www.facebook.com/groups/826557621871867/
10:40:44 [INFO]   Dominican Expats Buy, Sell or Rent -> https://www.facebook.com/groups/1502081570566337/
10:40:44 [INFO]   Empleos Bavaro - Punta cana -> https://www.facebook.com/groups/empleosbavaro/
10:40:44 [INFO]   compra y venta RD 🇩🇴 24/7 -> https://www.facebook.com/groups/1273532740779304/
10:40:44 [INFO]   La Pulga (República Dominicana).🇩🇴 -> https://www.facebook.com/groups/725584897563465/
10:40:44 [INFO]   Expats in Bavaro -> https://www.facebook.com/groups/1838130369633274/
10:40:44 [INFO]   Gente que vive en Cocotal, Residents of Cocotal -> https://www.facebook.com/groups/240857305389274/
10:40:44 [INFO]   Los Buenos Vecinos de Cocotal -> https://www.facebook.com/groups/670552130398142/
10:40:44 [INFO]   Gente que vive en Cocotal -> https://www.facebook.com/groups/CocotalGolfandCountryClub/
10:40:44 [INFO]   Compra y Venta en República Dominicana -> https://www.facebook.com/groups/634501682243777/
10:40:44 [INFO]   CLASIFICADOS  COCOTAL  Y  IFA  VILLAS  BAVARO -> https://www.facebook.com/groups/1052032618201976/
10:40:44 [INFO]   JP RESIDENCIAL COCOTAL GOLF  COUNTRY CLUB COMMUNITY AQUILAR Y VENTA TODOS -> https://www.facebook.com/groups/435849243282131/
10:40:44 [INFO]   Alquiler y Venta de Inmuebles en Bávaro - Punta Cana RD -> https://www.facebook.com/groups/244369479744445/
10:40:44 [INFO]   Ofertas Bávaro Punta Cana -> https://www.facebook.com/groups/1973117396102840/
10:40:44 [INFO]   Servicios Bavaro Punta Cana R.D -> https://www.facebook.com/groups/SERVIPUNTACANA/
10:40:44 [INFO]   Les fouineurs de la République Dominicaine -> https://www.facebook.com/groups/769269471418466/
10:40:44 [INFO]   Québécois en République dominicaine -> https://www.facebook.com/groups/republiquedominicaine/
10:40:44 [INFO]   Living in the Dominican Republic -> https://www.facebook.com/groups/1543795169006951/
10:40:44 [INFO]   Cocotal ventas -> https://www.facebook.com/groups/1641874669356890/
10:40:44 [INFO]   Condo,maison à louer ou à vendre en République Dominicaine -> https://www.facebook.com/groups/1180491786364712/
10:40:44 [INFO]   Dominican Republic Investment Real Estate -> https://www.facebook.com/groups/246656676271690/
10:40:44 [INFO]   Todo Ventas en Bávaro Punta Cana -> https://www.facebook.com/groups/533380030153914/
10:40:44 [INFO]   Punta Cana Sale -> https://www.facebook.com/groups/136725973545017/
10:40:44 [INFO]   Alquiler y Venta en Higüey, Bávaro y Punta Cana(Casas y Apartamentos) -> https://www.facebook.com/groups/103771743755671/
10:40:44 [INFO]   (Bavaro Punta Cana Jobs🔹 -> https://www.facebook.com/groups/wjose600/
10:40:44 [INFO]   Clasificados Bávaro Veron Punta Cana -> https://www.facebook.com/groups/5381778601890672/
10:40:44 [INFO]   VENDO Y COMPRO BÁVARO PUNTA CANA -> https://www.facebook.com/groups/414218262243753/
10:40:44 [INFO]   Real Estate Agents - Dominican Republic -> https://www.facebook.com/groups/realestatedominicanrepublic/
10:40:44 [INFO]   CLICK Clasificados ( Bávaro Punta Cana ) -> https://www.facebook.com/groups/clickclasificados/
10:40:44 [INFO]   Compra y Venta RD -> https://www.facebook.com/groups/promocionaterd/
10:40:44 [INFO]   Clasificados Bavaro Punta Cana Veron -> https://www.facebook.com/groups/171071510976684/
10:40:44 [INFO]   VENTA Y COMPRAS SANTO DOMINGO -> https://www.facebook.com/groups/654188161330154/
10:40:44 [INFO]   Vende Con Lo Mejores Precio Del Mercado -> https://www.facebook.com/groups/420416798037196/
10:40:44 [INFO]   Clasificado  Punta Cana -> https://www.facebook.com/groups/clasificadopuntacana/
10:40:44 [INFO]   Bavaro Punta Cana Compra y Venta -> https://www.facebook.com/groups/1662437247355246/
10:40:44 [INFO]   Amazon ofertas solo ESPAÑA -> https://www.facebook.com/groups/1011901136360084/
10:40:44 [INFO]   Compras Online �Mercado Libre �Amazon� y más � -> https://www.facebook.com/groups/737358742191869/
10:40:44 [INFO]   Ventas Rd -> https://www.facebook.com/groups/3661662620830200/
10:40:44 [INFO]   Compra Y Venta Online RD -> https://www.facebook.com/groups/188055717954617/
10:40:44 [INFO]   Mi compra y Venta RD🇩🇴💰💸🤝 -> https://www.facebook.com/groups/681236205349607/
10:40:44 [INFO] Saved to /opt/fb_scraper/discovered_groups.json

